transaction_amount,transaction_hour,merchant_category,device_type,device_age_days,region,account_age_days,transactions_last_24h,average_transaction_amount,distance_from_home,international_transaction,failed_transactions_last_24h,is_fraud
90.89,10,food,mobile_android,787.31,latin_america,996.93,1,46.15,9.71,0,0,0
11.67,15,travel,mobile_ios,231.06,north_america,1650.92,2,40.71,1.22,0,0,0
337.52,12,retail,mobile_android,103.82,europe,266.23,4,76.77,8.72,0,0,0
134.91,13,retail,desktop_windows,519.6,europe,732.36,3,86.76,8.63,0,0,0
5.91,14,retail,mobile_ios,952.07,europe,1065.53,3,32.79,5.63,0,0,0
3.43,5,entertainment,desktop_windows,477.2,north_america,251.8,5,56.71,0.49,0,0,0
8.52,11,entertainment,desktop_windows,779.69,north_america,1875.66,6,42.29,26.49,0,0,0
59.67,12,food,mobile_ios,129.32,north_america,384.8,2,48.5,7.34,0,0,0
47.94,9,entertainment,mobile_ios,992.33,north_america,623.53,1,42.16,23.4,0,0,0
15.85,18,entertainment,mobile_ios,387.51,europe,1421.61,5,50.82,1.12,0,0,0
6.56,10,electronics,mobile_android,714.88,north_america,1165.23,9,34.9,9.45,0,0,0
51.3,13,electronics,mobile_ios,535.19,north_america,1997.76,2,43.56,3.18,0,0,0
19.52,7,online,mobile_ios,620.92,europe,1120.24,2,56.04,6.98,0,0,0
61.21,6,travel,desktop_mac,156.43,latin_america,965.98,1,56.09,8.84,0,0,0
5.43,7,electronics,mobile_android,398.08,north_america,281.26,2,34.24,0.49,0,1,0
42.77,13,retail,mobile_ios,302.05,north_america,1114.48,5,66.87,15.5,1,0,0
30.06,7,retail,desktop_mac,877.37,middle_east,1350.89,2,59.99,0.42,0,0,0
1.42,17,luxury,mobile_android,437.73,asia_pacific,1147.14,6,50.31,10.53,0,0,0
9.2,17,food,mobile_android,35.46,latin_america,1319.15,3,66.7,19.78,0,0,0
119.56,8,electronics,mobile_ios,411.55,north_america,692.58,3,34.6,18.25,0,0,0
32.7,15,travel,desktop_mac,339.74,asia_pacific,549.07,3,69.95,0.65,0,0,0
291.9,9,travel,mobile_ios,396.63,europe,1747.33,2,47.03,1.92,0,0,0
89.6,21,luxury,desktop_mac,23.36,middle_east,161.52,6,99.25,298.53,0,1,1
127.78,11,electronics,mobile_android,833.2,europe,350.3,3,81.75,12.1,0,0,0
58.99,20,retail,tablet,971.73,europe,1696.72,3,66.35,5.73,0,1,0
7.85,12,retail,mobile_android,491.1,north_america,1530.77,3,49.55,5.84,0,1,0
47.76,5,retail,desktop_windows,669.17,europe,613.48,1,43.98,3.03,1,0,0
21.44,10,retail,desktop_windows,696.05,asia_pacific,1414.57,3,86.51,4.4,0,0,0
43.3,9,electronics,mobile_ios,63.76,north_america,621.45,4,49.0,38.19,0,0,0
3.85,15,retail,mobile_ios,38.2,europe,1304.65,2,47.81,7.08,0,0,0
3.24,9,food,desktop_windows,316.08,north_america,1919.52,2,45.91,10.9,0,0,0
14.87,12,electronics,mobile_ios,579.45,europe,333.32,9,57.08,28.06,0,0,0
31.3,9,food,mobile_android,369.76,europe,1771.85,1,45.22,0.5,0,0,0
26.1,15,retail,desktop_mac,130.72,europe,1531.39,2,40.67,0.88,0,0,0
93.6,8,electronics,mobile_android,541.26,north_america,1716.76,2,54.95,6.64,0,0,0
91.07,14,retail,mobile_ios,970.36,europe,1256.76,3,75.23,25.33,0,0,0
47.59,18,electronics,desktop_mac,339.14,north_america,984.38,3,74.42,5.36,0,0,0
31.34,12,entertainment,mobile_android,267.28,middle_east,1859.62,2,38.74,5.56,0,1,0
15.77,5,online,mobile_android,460.47,north_america,433.15,1,32.57,3.63,0,0,0
12.14,15,luxury,mobile_ios,546.34,europe,468.72,3,55.7,44.89,0,0,0
16.52,12,travel,mobile_ios,610.36,europe,1453.38,4,53.83,2.14,0,0,0
40.35,14,online,desktop_windows,768.06,asia_pacific,1968.66,5,30.52,5.79,0,0,0
30.18,16,utilities,desktop_mac,460.02,europe,698.53,2,15.28,19.5,0,2,0
17.48,12,electronics,mobile_ios,329.99,north_america,1635.34,1,61.38,42.76,0,0,0
59.67,21,food,mobile_android,222.86,north_america,692.8,3,65.47,2.63,0,0,0
47.25,17,retail,mobile_android,567.54,middle_east,479.99,3,70.81,9.93,0,0,0
104.74,3,retail,mobile_android,61.84,north_america,764.7,1,61.0,10.52,0,0,0
17.72,10,luxury,mobile_ios,305.58,north_america,1839.07,4,39.19,8.98,0,0,0
89.77,8,retail,mobile_ios,884.23,north_america,940.87,8,58.06,23.69,0,0,0
16.97,16,travel,mobile_android,343.5,europe,1636.06,1,25.15,11.09,0,0,0
76.56,18,retail,mobile_ios,78.56,latin_america,1125.59,4,53.03,6.62,0,0,0
205.05,17,retail,mobile_ios,737.79,north_america,1747.44,4,53.91,19.66,0,0,0
42.25,11,electronics,mobile_ios,526.66,europe,1369.78,2,92.75,3.62,0,0,0
64.33,8,food,mobile_ios,961.46,latin_america,811.08,1,50.89,0.49,0,1,0
29.65,10,food,mobile_android,128.0,north_america,259.86,2,50.12,16.24,0,0,0
80.37,14,retail,mobile_android,561.18,north_america,1333.44,2,66.98,0.16,1,0,0
86.88,14,retail,mobile_android,349.47,north_america,79.58,1,55.48,6.52,0,0,0
2.57,10,luxury,mobile_android,645.22,north_america,97.31,2,54.24,4.25,0,0,0
61.08,13,food,mobile_android,500.44,latin_america,95.6,2,45.27,7.09,0,1,0
62.85,15,online,mobile_ios,425.18,europe,940.48,3,95.83,8.04,0,0,0
32.07,11,food,mobile_android,386.81,north_america,107.85,3,70.63,18.84,0,0,0
210.34,20,travel,desktop_mac,473.6,europe,412.11,4,32.21,9.35,0,0,0
4.72,17,food,desktop_mac,49.09,north_america,371.79,5,74.92,25.52,0,0,0
16.81,9,travel,mobile_android,980.65,north_america,1062.31,1,26.74,2.21,0,0,0
368.17,3,luxury,mobile_ios,33.4,north_america,149.57,8,31.16,126.18,1,3,1
14.2,10,retail,mobile_android,319.1,north_america,1386.44,5,67.45,0.75,0,0,0
35.24,12,retail,mobile_ios,349.14,north_america,1515.03,0,53.06,1.54,0,0,0
187.77,13,food,desktop_mac,880.13,europe,394.56,5,49.81,14.55,0,0,0
11.55,12,electronics,mobile_android,91.36,latin_america,832.2,2,49.77,28.74,0,0,0
72.34,15,travel,mobile_android,231.78,north_america,389.37,1,59.94,1.06,0,0,0
51.72,10,online,mobile_android,578.12,latin_america,1857.41,3,43.37,30.38,0,2,0
126.96,10,food,tablet,900.86,north_america,399.84,2,53.14,6.88,0,0,0
106.92,6,travel,desktop_windows,386.16,north_america,180.9,4,39.19,17.1,0,0,0
371.93,13,electronics,desktop_windows,39.41,north_america,64.9,4,51.33,4.91,0,0,0
95.8,9,entertainment,mobile_ios,556.56,europe,899.33,1,54.02,8.03,0,0,0
186.89,7,travel,mobile_ios,395.02,north_america,204.2,6,48.55,20.19,0,2,0
190.67,17,online,mobile_ios,502.41,europe,896.85,3,38.8,21.18,0,0,0
31.73,7,retail,mobile_android,866.46,latin_america,1378.95,2,44.2,1.53,0,0,0
14.07,14,electronics,mobile_android,326.25,europe,1360.31,2,38.15,5.26,0,0,0
29.87,18,travel,mobile_ios,822.74,north_america,1363.97,1,63.34,3.99,0,0,0
261.05,14,luxury,desktop_mac,507.45,north_america,141.77,2,55.62,4.32,0,0,0
39.33,1,electronics,mobile_ios,601.79,europe,322.63,3,68.41,28.23,0,0,0
1.35,23,retail,desktop_mac,445.86,north_america,1421.95,2,55.8,20.11,0,0,0
15.3,20,travel,desktop_windows,37.86,north_america,260.4,5,93.9,6.48,0,0,0
42.9,10,food,mobile_android,935.41,north_america,1216.56,4,59.91,8.67,0,0,0
24.76,15,online,mobile_ios,568.61,north_america,1370.13,1,51.28,7.51,0,0,0
5.44,11,retail,mobile_ios,454.64,north_america,236.34,5,87.96,10.5,0,0,0
210.01,12,retail,desktop_windows,862.03,north_america,707.41,2,41.46,31.37,0,0,0
25.75,3,retail,mobile_ios,640.04,europe,753.97,2,90.03,3.97,0,0,0
105.95,9,online,mobile_android,210.73,north_america,1772.65,5,39.69,19.64,0,0,0
57.65,6,electronics,mobile_ios,38.97,north_america,443.44,3,47.41,4.91,0,0,0
58.3,1,food,mobile_ios,829.98,europe,908.94,6,61.87,13.01,0,0,0
48.74,14,electronics,mobile_android,153.49,latin_america,244.27,4,52.32,2.85,0,0,0
15.59,11,travel,mobile_ios,964.9,asia_pacific,907.93,7,50.36,19.19,0,0,0
11.47,7,electronics,mobile_android,164.13,middle_east,1309.25,2,66.38,1.15,0,0,0
83.72,15,online,mobile_android,185.12,latin_america,1765.62,3,70.62,4.22,0,0,0
47.22,0,food,desktop_windows,160.99,middle_east,1767.41,5,56.89,11.71,0,0,0
2.9,10,online,mobile_ios,531.64,asia_pacific,273.94,3,53.51,12.66,0,0,0
2.56,14,utilities,tablet,848.12,europe,1356.38,1,54.31,24.98,0,0,0
50.46,12,utilities,mobile_ios,358.64,north_america,137.22,1,56.21,15.38,0,0,0
21.93,12,electronics,tablet,253.58,north_america,631.04,2,78.91,8.71,0,0,0
54.53,11,retail,mobile_ios,526.19,north_america,165.56,3,62.27,2.98,0,0,0
8.47,14,food,desktop_mac,705.15,north_america,901.54,3,42.98,5.98,0,0,0
214.25,13,electronics,desktop_windows,911.65,asia_pacific,1356.42,3,53.01,6.07,0,0,0
12.7,10,food,mobile_android,501.48,north_america,674.87,5,68.0,13.06,0,0,0
16.06,10,food,mobile_ios,510.85,north_america,1508.05,4,63.58,11.95,0,0,0
13.24,7,retail,mobile_ios,963.32,north_america,667.11,5,42.97,1.96,0,0,0
166.08,17,food,mobile_android,110.55,north_america,201.0,4,76.44,3.46,0,0,0
97.39,19,retail,mobile_ios,141.56,asia_pacific,829.42,6,64.83,15.02,0,0,0
58.76,8,food,mobile_android,280.2,latin_america,1826.2,4,76.88,12.53,0,0,0
113.42,11,electronics,desktop_windows,913.69,asia_pacific,1327.35,1,68.76,0.28,0,0,0
163.97,14,retail,mobile_android,155.82,north_america,972.85,7,60.59,2.84,1,0,0
94.85,16,retail,mobile_ios,459.63,europe,172.61,3,47.49,13.55,0,0,0
44.84,18,entertainment,mobile_ios,403.91,europe,257.05,3,69.96,48.63,0,0,0
94.24,2,food,mobile_android,665.72,middle_east,1231.9,3,75.2,1.63,0,0,0
60.48,6,online,mobile_ios,124.69,north_america,1360.16,2,66.72,3.45,0,0,0
158.66,13,online,desktop_mac,931.38,europe,837.36,4,82.32,13.41,0,0,0
15.52,12,retail,desktop_mac,365.88,north_america,394.95,3,65.88,30.44,0,0,0
65.5,12,retail,mobile_android,354.96,north_america,578.97,2,35.2,1.61,0,0,0
44.92,15,retail,mobile_android,73.23,europe,1265.0,2,43.78,5.55,0,0,0
46.34,6,food,mobile_ios,752.27,north_america,101.49,2,45.19,18.52,0,0,0
25.92,7,electronics,mobile_ios,122.04,europe,1658.17,5,46.61,10.16,0,0,0
86.19,21,retail,mobile_android,932.88,north_america,406.69,3,42.58,9.0,0,0,0
38.38,13,travel,mobile_ios,792.23,europe,1607.13,3,50.16,1.27,0,0,0
90.88,18,luxury,mobile_android,602.71,latin_america,1366.38,4,34.05,6.17,0,0,0
99.39,21,online,mobile_ios,915.11,middle_east,1109.6,3,72.32,16.88,0,0,0
197.48,9,luxury,mobile_android,69.12,asia_pacific,1582.46,0,62.26,0.41,0,0,0
64.46,16,retail,tablet,421.7,europe,381.3,5,44.66,21.84,0,0,0
59.2,11,online,mobile_ios,838.28,europe,627.12,2,65.89,13.59,0,0,0
195.95,17,luxury,mobile_ios,153.22,north_america,582.55,3,33.54,34.09,0,0,0
14.69,20,electronics,mobile_ios,789.45,latin_america,1146.33,0,55.05,9.22,0,0,0
111.22,10,entertainment,mobile_android,249.64,latin_america,1342.39,1,63.48,3.6,0,0,0
16.85,16,online,desktop_mac,479.64,latin_america,788.97,6,44.32,9.82,0,0,0
121.03,10,online,desktop_windows,139.71,latin_america,82.18,1,76.7,22.66,1,0,0
52.52,14,retail,desktop_windows,297.18,europe,1375.67,2,51.27,5.75,0,0,0
173.53,9,online,mobile_android,410.95,europe,1846.52,1,80.23,19.31,0,0,0
1500.27,16,retail,unknown,12.96,north_america,72.31,7,79.55,455.16,0,1,1
14.57,10,electronics,mobile_android,697.32,europe,1760.12,2,71.41,46.34,0,0,0
48.85,19,retail,mobile_android,605.36,africa,603.96,3,43.81,9.37,0,0,0
198.69,18,electronics,mobile_android,548.83,north_america,1254.64,5,58.91,9.22,0,0,0
102.99,12,travel,mobile_ios,511.19,north_america,1115.82,2,64.88,1.19,0,0,0
44.58,13,electronics,desktop_mac,324.61,north_america,702.9,6,15.34,13.45,0,2,0
15.03,0,travel,desktop_mac,115.87,north_america,732.2,5,77.51,9.55,0,0,0
45.59,14,food,mobile_android,343.29,latin_america,1884.83,2,58.66,10.6,0,0,0
67.08,21,retail,mobile_android,255.31,north_america,1017.0,3,53.54,18.58,0,0,0
101.57,9,travel,mobile_ios,181.64,asia_pacific,889.25,3,54.69,3.61,0,0,0
34.9,9,online,mobile_ios,210.26,asia_pacific,337.0,1,42.21,3.6,0,0,0
53.33,15,entertainment,mobile_ios,396.85,asia_pacific,1955.73,4,58.2,20.4,0,0,0
41.7,13,electronics,mobile_android,695.3,latin_america,133.3,2,51.71,12.35,0,0,0
99.84,2,luxury,mobile_android,882.51,north_america,1011.78,0,55.59,1.93,1,0,0
9.71,12,retail,mobile_android,781.24,north_america,277.67,0,60.3,3.44,0,0,0
55.59,9,online,mobile_android,678.14,north_america,696.85,3,45.36,11.05,0,0,0
20.45,13,food,mobile_ios,400.52,north_america,1446.49,7,78.28,4.26,0,0,0
86.88,12,travel,desktop_windows,67.71,europe,389.57,3,47.65,16.45,0,0,0
24.4,15,food,mobile_ios,923.44,europe,1955.85,3,60.62,14.95,0,2,0
24.42,16,retail,desktop_mac,179.14,north_america,633.88,3,37.35,5.09,0,0,0
126.57,13,food,desktop_mac,794.51,north_america,1387.37,1,56.99,15.46,0,0,0
99.37,10,utilities,mobile_android,707.27,north_america,1070.01,3,69.45,2.99,0,0,0
24.92,13,retail,mobile_ios,41.18,latin_america,1344.12,2,62.73,8.64,0,0,0
47.59,7,electronics,mobile_ios,138.87,north_america,1976.85,6,38.68,13.03,0,0,0
12.42,14,food,mobile_ios,209.96,europe,1972.79,3,40.38,4.31,0,0,0
42.39,11,luxury,desktop_windows,88.27,north_america,206.12,5,66.38,6.0,0,0,0
5.81,10,electronics,desktop_mac,300.51,north_america,1281.56,1,55.59,6.74,0,0,0
11.52,15,retail,desktop_windows,641.13,latin_america,891.41,2,63.73,3.61,0,0,0
93.41,16,travel,desktop_windows,932.44,europe,224.26,3,47.42,6.37,1,1,0
447.5,17,food,mobile_android,755.59,asia_pacific,911.2,3,40.87,1.62,0,0,0
